date,min,max,median,q1,q3,stdev,count
2020-07-19T00:00:00.000Z,0.9,7.43,2.83,1.6,5.33,1.943,158
2020-07-20T00:00:00.000Z,0.7,6.2,2.2,1.53,2.93,1.087,176
2020-07-21T00:00:00.000Z,0.33,2.7,0.7,0.56,0.93,0.274,261
2020-07-22T00:00:00.000Z,0.3,1.53,0.5,0.4,0.6,0.154,273
2020-07-23T00:00:00.000Z,0.3,1.2,0.5,0.4,0.56,0.124,302
2020-07-24T00:00:00.000Z,0.3,1.3,0.6,0.5,0.67,0.15,381
2020-07-25T00:00:00.000Z,0.4,2.29,0.6,0.5,1.43,0.577,82
2020-07-26T00:00:00.000Z,0.5,2.97,1.3,0.9,1.77,0.513,450
2020-07-27T00:00:00.000Z,0.8,8.5,2.37,1.83,3.43,1.53,279
2020-07-28T00:00:00.000Z,1.2,24.83,2.8,2.13,7.17,3.427,423
2020-07-29T00:00:00.000Z,0.53,4,1.3,1.05,1.9,0.708,337
2020-07-30T00:00:00.000Z,0.4,3.37,1.23,0.87,1.8,0.628,364
2020-07-31T00:00:00.000Z,0.63,6.23,2,1.3,3.51,1.258,376
2020-08-01T00:00:00.000Z,1.1,9.13,2.7,1.97,4.17,1.75,367
2020-08-02T00:00:00.000Z,0.4,8.67,2.47,1.5,4.09,1.545,331
2020-08-03T00:00:00.000Z,0.43,5.83,1.5,1.02,1.9,0.613,365
2020-08-04T00:00:00.000Z,0.2,5.23,0.7,0.5,0.95,0.458,421
2020-08-05T00:00:00.000Z,0.5,4.23,1.2,1,1.43,0.386,408
2020-08-06T00:00:00.000Z,0.77,10.02,1.6,1.3,2.23,0.943,343
2020-08-07T00:00:00.000Z,0.4,13.63,2.02,1.45,3.62,1.496,436
2020-08-08T00:00:00.000Z,0.8,4.83,1.97,1.4,3.23,1.07,374
2020-08-09T00:00:00.000Z,0.7,6.1,1.7,1.3,3.2,1.233,459
2020-08-10T00:00:00.000Z,0.4,6.3,1.1,0.9,1.3,0.787,440
2020-08-11T00:00:00.000Z,0.7,8.5,1.43,1.17,1.87,0.874,462
2020-08-12T00:00:00.000Z,0.83,2.5,1.43,1.3,1.63,0.285,467
2020-08-13T00:00:00.000Z,1.43,22.1,3.53,2.87,5.01,2.251,473
2020-08-14T00:00:00.000Z,2.17,10.77,4.17,3.3,5.2,1.79,391
2020-08-15T00:00:00.000Z,2.02,6.9,4.59,3.23,5.33,1.165,479
2020-08-16T00:00:00.000Z,0.7,10.02,3.85,1.1,6.8,2.872,474
2020-08-17T00:00:00.000Z,1.1,17.3,4.8,3,6.23,2.315,468
2020-08-18T00:00:00.000Z,2,13.53,3.73,3.1,4.67,1.882,439
2020-08-19T00:00:00.000Z,1.7,16.27,3.33,2.77,4.63,2.711,440
2020-08-20T00:00:00.000Z,1.2,14.23,3.03,2.47,3.63,1.381,471
2020-08-21T00:00:00.000Z,1.83,17.82,4.13,3.2,7.7,3.828,450
2020-08-22T00:00:00.000Z,1.27,8.13,3.1,2.1,4.51,1.476,413
2020-08-23T00:00:00.000Z,0.9,3.83,1.7,1.43,2.17,0.542,407
2020-08-24T00:00:00.000Z,0.4,3.5,0.9,0.7,2,0.777,351
2020-08-25T00:00:00.000Z,0.4,5.83,0.7,0.6,0.87,0.328,378
2020-08-26T00:00:00.000Z,0.4,2.6,0.83,0.7,1.1,0.344,395
2020-08-27T00:00:00.000Z,0.3,2.8,0.63,0.5,0.9,0.376,465
2020-08-28T00:00:00.000Z,0.3,2.47,0.87,0.7,1.27,0.422,402
2020-08-29T00:00:00.000Z,0.5,2.97,1.33,0.97,1.67,0.483,420
2020-08-30T00:00:00.000Z,0.5,5.13,1.37,0.9,2.2,1.014,397
2020-08-31T00:00:00.000Z,0.3,3.43,0.8,0.53,1.2,0.591,396
2020-09-01T00:00:00.000Z,0.63,3.77,1.57,1.12,2.23,0.654,361
2020-09-02T00:00:00.000Z,0.6,4.4,2.33,1.73,2.8,0.816,475
2020-09-03T00:00:00.000Z,1.8,12.17,5.52,4.53,6.83,1.983,470
2020-09-04T00:00:00.000Z,0.77,176.17,2.5,1.73,5.5,25,482
2020-09-05T00:00:00.000Z,0.7,4.33,1.9,1.43,2.4,0.655,479
2020-09-06T00:00:00.000Z,0.5,3.4,1.1,0.9,1.5,0.473,470
2020-09-07T00:00:00.000Z,0.3,2.47,0.9,0.63,1.23,0.419,446
2020-09-08T00:00:00.000Z,0.3,3.3,0.9,0.6,1.3,0.508,378
2020-09-09T00:00:00.000Z,0.3,7.73,2.54,1.05,3.3,1.28,404
2020-09-10T00:00:00.000Z,0.3,4,0.5,0.4,0.63,0.397,343
2020-09-11T00:00:00.000Z,0.3,3.7,1.2,0.8,1.7,0.685,310
2020-09-12T00:00:00.000Z,1.33,5.6,3.22,2.77,3.8,0.813,298
2020-09-13T00:00:00.000Z,0.73,5.09,2.4,1.6,3.07,0.908,359
2020-09-14T00:00:00.000Z,0.5,11.5,2.17,1,2.7,1.028,293
2020-09-15T00:00:00.000Z,2.1,21.23,4.9,4.09,5.6,1.827,250
2020-09-16T00:00:00.000Z,0.37,0.87,0.6,0.5,0.7,0.122,36
2020-09-17T00:00:00.000Z,0.4,1.43,0.73,0.6,0.9,0.21,149
2020-09-18T00:00:00.000Z,0.4,2.6,1.17,0.9,1.4,0.364,326
2020-09-19T00:00:00.000Z,0.56,5.83,1.2,1,1.65,0.958,311
2020-09-20T00:00:00.000Z,0.8,4,1.85,1.51,2.27,0.531,236
2020-09-21T00:00:00.000Z,1.4,4.07,2.4,1.99,2.92,0.621,220
2020-09-22T00:00:00.000Z,1.07,16.53,2,1.7,4.34,4.575,340
2020-09-23T00:00:00.000Z,3.73,49.8,10.72,5.69,15.34,10.831,452
2020-09-24T00:00:00.000Z,5.5,59.4,20.1,10.19,27.47,12.335,471
2020-09-25T00:00:00.000Z,1.67,14.67,4.4,3.37,5.43,2.185,350
2020-09-26T00:00:00.000Z,9.43,21.9,14.33,12.2,16.8,2.805,272
2020-09-27T00:00:00.000Z,5.77,23.33,16.5,10.5,19.2,4.969,223
2020-09-28T00:00:00.000Z,4.8,22.1,9.68,6.6,16.69,5.271,272
2020-09-29T00:00:00.000Z,1.53,11.6,4.59,3.23,8.4,2.838,259
2020-09-30T00:00:00.000Z,1.6,25.7,10.53,3.97,13.37,5.127,396
2020-10-01T00:00:00.000Z,2.6,13.4,8.02,4.23,9.6,2.85,299
2020-10-02T00:00:00.000Z,6.83,20.1,14.65,11.57,16.23,2.978,266
2020-10-03T00:00:00.000Z,7.9,25.53,17.04,11.9,20.93,4.955,254
2020-10-04T00:00:00.000Z,10.8,31.8,21.55,16.87,25.7,4.831,312
2020-10-05T00:00:00.000Z,0.5,18.5,2.97,1.3,5.87,3.91,320
2020-10-06T00:00:00.000Z,1.4,35.6,3.97,2.93,12.47,11.218,338
2020-10-07T00:00:00.000Z,1.2,7.37,3.22,2.23,4.2,1.249,326
2020-10-08T00:00:00.000Z,0.97,5.9,2.02,1.57,2.8,1.018,314
2020-10-09T00:00:00.000Z,0.5,5.43,1.69,1.09,2.29,1.082,348
2020-10-10T00:00:00.000Z,0.6,13.4,2.4,1.87,3.47,1.508,411
2020-10-11T00:00:00.000Z,0.56,6.03,1.21,1,1.57,0.509,426
2020-10-12T00:00:00.000Z,0.3,1.7,0.6,0.5,0.8,0.249,343
2020-10-13T00:00:00.000Z,0.4,3.03,0.83,0.7,1.02,0.289,417
2020-10-14T00:00:00.000Z,0.4,2.06,0.8,0.7,1,0.256,386
2020-10-15T00:00:00.000Z,0.4,1.8,0.87,0.73,1.03,0.238,388
2020-10-16T00:00:00.000Z,0.3,5.37,0.9,0.7,2,1.236,426
2020-10-17T00:00:00.000Z,0.4,2.29,0.93,0.8,1.2,0.302,416
2020-10-18T00:00:00.000Z,0.4,2,0.73,0.6,0.9,0.232,436
2020-10-19T00:00:00.000Z,0.4,1.8,0.8,0.7,1,0.238,425
2020-10-20T00:00:00.000Z,0.7,12.27,2,1.47,2.97,2.659,446
2020-10-21T00:00:00.000Z,8.3,26.7,17.1,13.03,20.07,4.181,426
2020-10-22T00:00:00.000Z,0.4,15.43,2,1.12,4.26,3.33,414
2020-10-23T00:00:00.000Z,0.37,8.52,1.37,0.77,2.9,1.338,412
2020-10-24T00:00:00.000Z,0.7,5.53,2.63,2.06,3.37,0.934,421
2020-10-25T00:00:00.000Z,0.7,14.6,5.65,3.03,7.5,2.916,462
2020-10-26T00:00:00.000Z,1.03,39.07,6.4,2.9,17.5,10.55,471
2020-10-27T00:00:00.000Z,1.03,37.72,4.13,2.4,7.03,9.872,447
2020-10-28T00:00:00.000Z,1.8,9.27,3.8,3,5.09,1.598,460
2020-10-29T00:00:00.000Z,2.93,13.9,6.43,4.9,8.3,2.202,463
